size2,size3,size4,size5
197.963827,483.561877,633.265965,646.487693
376.566485,534.908561,634.972108,739.775165
376.566488,469.796847,450.296673,621.856005
376.566483,499.738008,654.074071,528.547216
311.454769,489.825096,605.538791,667.760674
376.566484,329.425027,620.609662,736.438254
250.819598,395.695101,601.667975,621.192017
307.448753,497.438128,508.953713,736.438258
307.448753,484.159297,596.820494,713.089955
376.566487,494.101224,616.435291,528.547217
376.566482,495.73199,633.265975,638.032134
311.454766,495.731991,658.080085,658.662446
376.566488,378.981493,533.229084,222.609344
311.45477,395.695105,612.996623,532.830873
376.566484,379.668376,602.727382,521.968521
376.566484,407.271974,398.34596,667.760673
311.454771,499.738015,618.903519,620.374642
376.566483,483.561875,554.037181,636.87377
376.566483,395.695107,620.609662,671.526963
376.566488,495.731995,533.229083,739.201954
376.566486,489.825098,606.733407,512.069455
309.154888,499.738014,637.271983,758.143637
311.454768,210.062719,518.86663,689.506468
311.454771,534.908564,554.03718,519.601344
376.566484,448.988748,617.272749,527.388851
311.454766,489.8251,541.680763,656.40061
376.566486,514.100464,637.271991,528.547215
376.566486,495.731995,618.903515,638.03214
309.15489,407.477838,533.229079,720.262121
311.454768,499.738012,616.603634,736.438254
376.566485,495.731991,502.94435,623.26052
311.454771,413.384734,433.389344,736.438259
376.566489,534.908563,595.555217,632.12524
376.566487,495.731992,607.359833,778.951734
376.566487,514.100465,633.265971,639.738275
376.566485,469.796847,219.507456,724.268143
294.084019,432.326417,442.61298,735.600798
376.566488,330.58339,606.733406,517.9625
307.448745,395.695107,620.609662,546.096727
325.81722,499.738012,552.878817,477.797947
376.566484,379.217345,451.455034,519.448987
311.45477,482.36726,502.153024,673.233101
376.566488,482.502468,637.271983,557.139072
207.411863,386.247068,658.080091,756.437497
307.448752,225.382117,654.074072,681.439877
376.566489,497.438132,451.455033,758.143636
346.62532,469.796848,654.074071,656.400605
376.566484,364.595576,651.605841,743.072768
311.454772,217.092445,648.167174,636.873776
207.411861,329.425027,612.925967,765.075484
376.566488,499.738014,618.903519,517.962504
307.448752,225.382118,658.080091,623.71155
376.566488,495.731988,398.796994,639.738273
307.44875,424.146029,514.860611,658.967886
376.566482,499.738013,608.990609,758.143637
376.566485,495.731995,616.435294,728.683042
311.454768,514.100464,498.382854,588.98901
376.566487,330.583388,554.037186,677.208708
376.566487,330.583391,617.27275,675.144019
376.566483,395.695104,427.057733,636.401369
376.566487,489.825101,612.925967,763.880869
207.411863,495.73199,618.903523,703.856448
346.625318,386.247068,518.866635,733.797612
294.219225,534.908563,509.418597,677.208707
311.454771,499.738014,640.709337,707.032598
376.566487,330.583387,658.080089,599.922384
325.81722,321.135355,393.119745,619.92361
325.817221,378.981494,605.673993,749.963244
307.44875,414.444143,618.903519,729.964004
207.411863,489.825097,618.903519,733.797616
376.566487,499.738011,377.093014,756.437497
376.566484,534.908562,220.194334,795.614064
346.625321,495.731992,651.605843,775.614825
301.471197,489.825096,637.271989,750.5306
346.625321,494.10122,508.953721,619.68776
311.454772,484.159298,618.903515,738.144396
304.980523,495.731989,617.272753,661.181976
376.566483,514.100462,612.429266,726.410439
325.81722,395.695109,512.392382,758.379284
376.566486,494.101224,620.609659,638.03214
309.154889,432.326415,451.455032,754.806726
376.566487,207.994218,608.990608,476.639587
311.454768,494.101219,634.972108,675.14402
325.817218,417.255546,658.080088,554.619539
376.566489,363.689252,517.708265,572.007438
376.566487,499.738011,618.903519,446.873228
307.448748,495.731992,501.532138,636.401373
304.980519,499.738016,610.626085,632.39535
376.566487,424.642724,544.589145,719.424663
311.454768,448.988743,517.708267,730.460703
376.566482,494.101223,607.330825,622.947315
376.566483,514.100464,601.667976,646.952571
207.411862,432.326417,637.271988,656.400605
376.566486,448.988748,518.866631,632.054583
376.566485,514.100462,518.866629,621.856007
346.625322,210.513752,658.080092,720.262122
311.45477,534.908562,605.673996,638.032136
295.278638,495.731992,551.972492,624.802613
207.411863,483.561882,333.685278,676.050348
376.566486,514.100464,517.202352,639.687
376.566484,493.263762,648.167177,756.437497
325.81722,395.695101,405.375691,771.338706
376.566483,499.738012,607.359834,778.951738
311.45477,495.731992,633.265973,777.245596
376.566488,363.689249,502.839903,719.20271
376.566482,489.825098,488.925467,628.584104
376.566487,499.738016,551.972494,726.54564
346.625318,514.100462,479.477432,750.800711
376.566489,534.908564,533.229084,536.836887
294.084019,484.159297,616.603638,756.437498
294.219225,379.668374,333.234246,777.245594
346.62532,494.101221,348.553644,795.614066
325.817221,482.367264,388.897927,638.579915
376.566485,499.738015,620.036445,622.947317
311.454766,499.738013,562.274368,791.608043
376.566485,432.326416,655.780212,519.448989
