TREATMENT	INTENSITY	CBVAL_CEMID
RAND	_0.5	4.140695206
RAND	_0.75	2.418787529
RAND	_0.75	2.979470955
RAND	_0.75	2.605908211
RAND	_0.75	0.905586831
RAND	_0.75	3.238977677
RAND	_0.75	14.03666499
RAND	_0.75	1.148427798
RAND	_0.75	4.304111908
RAND	_0.75	1.444242624
RAND	_0.75	6.358451305
RAND	_0.75	5.699011921
RAND	_0.75	6.730820386
RAND	_0.75	2.453389794
RAND	_0.75	-0.269550577
RAND	_0.75	10.96535274
RAND	_0.75	11.34593131
RAND	_0.75	9.11642302
RAND	_0.75	3.429620101
RAND	_0.75	0.781484954
RAND	_0.75	7.232476028
RAND	_0.75	2.048427723
RAND	_0.75	15.61357905
RAND	_0.75	5.565465637
RAND	_0.75	2.713297945
RAND	_0.75	2.778346975
RAND	_0.75	1.044485329
RAND	_0.75	9.366547195
RAND	_0.75	2.466872318
RAND	_0.75	4.635520582
RAND	_0.75	1.698373947
RAND	_0.75	3.831163746
RAND	_0.75	2.57684267
RAND	_0.75	8.36997853
RAND	_0.75	2.065025756
RAND	_0.75	4.723129078
RAND	_0.75	5.99337194
RAND	_0.75	2.313208142
RAND	_0.75	2.641901098
RAND	_0.75	5.495410692
RAND	_0.75	8.213607778
RAND	_0.75	5.677152221
RAND	_0.75	8.116448646
RAND	_0.75	2.749203986
RAND	_0.75	1.095454525
RAND	_0.75	0.680658613
RAND	_0.75	3.158376143
RAND	_0.75	0.213900686
RAND	_0.75	8.343034055
RAND	_0.75	8.991340534
RAND	_0.75	8.829356565
RAND	_0.75	5.771402531
RAND	_0.75	10.30245558
RAND	_0.75	1.013342706
RAND	_0.75	2.624531571
RAND	_0.75	8.109285784
RAND	_0.75	0.883016839
RAND	_0.75	3.281828819
RAND	_0.75	4.027565062
RAND	_0.75	8.586464207
RAND	_0.75	5.143549321
RAND	_0.75	4.089794628
RAND	_0.75	13.77973586
RAND	_0.75	4.38529142
RAND	_0.75	8.643918776
RAND	_0.75	4.336878368
RAND	_0.75	4.571621006
RAND	_0.75	1.962674442
RAND	_0.75	10.96946233
RAND	_0.75	5.536804012
RAND	_0.75	7.930565471
RAND	_0.75	9.872771261
RAND	_0.75	3.32637003
RAND	_0.75	4.007217484
RAND	_0.75	9.288413049
RAND	_0.75	7.704029906
RAND	_0.75	7.307830525
RAND	_0.75	11.88958637
RAND	_0.75	6.163069197
RAND	_0.75	2.201007794
RAND	_0.75	8.208158187
RAND	_0.75	4.250626018
RAND	_0.75	1.971296652
RAND	_0.75	5.367930321
RAND	_0.75	0.205200113
RAND	_0.75	7.39292709
RAND	_0.75	5.739991178
RAND	_0.75	11.4130692
RAND	_0.75	2.518570587
RAND	_0.75	7.824765107
RAND	_0.75	6.835293322
RAND	_0.75	9.597660438
RAND	_0.75	4.938465669
RAND	_0.75	3.549196728
RAND	_0.75	6.419415038
RAND	_0.75	0.870449521
RAND	_0.75	12.51730791
RAND	_0.75	2.136318143
RAND	_0.75	9.607818493
RAND	_0.75	4.791466905
RAND	_0.75	6.580863885
RAND	_0.9	1.45400134
RAND	_0.9	5.076744283
RAND	_0.9	6.259765871
RAND	_0.9	4.210701693
RAND	_0.9	3.741883973
RAND	_0.9	2.455430784
RAND	_0.9	7.999712026
RAND	_0.9	7.666666976
RAND	_0.9	0.404030788
RAND	_0.9	-0.002257134
RAND	_0.9	9.95624732
RAND	_0.9	11.08332278
RAND	_0.9	4.230346736
RAND	_0.9	2.637163756
RAND	_0.9	4.983048055
RAND	_0.9	4.817984306
RAND	_0.9	12.14907231
RAND	_0.9	4.992022236
RAND	_0.9	1.69275
RAND	_0.9	1.776996482
RAND	_0.9	9.036645969
RAND	_0.9	11.49368351
RAND	_0.9	5.23795548
RAND	_0.9	3.560104693
RAND	_0.9	2.437472415
RAND	_0.9	4.680890995
RAND	_0.9	11.59623325
RAND	_0.9	0.298229452
RAND	_0.9	4.146704291
RAND	_0.9	6.000351912
RAND	_0.9	3.529032946
RAND	_0.9	2.614020205
RAND	_0.9	5.16359363
RAND	_0.9	2.794654381
RAND	_0.9	1.524212271
RAND	_0.9	9.161918934
RAND	_0.9	5.906898908
RAND	_0.9	2.978614013
RAND	_0.9	5.802353126
RAND	_0.9	8.647162228
RAND	_0.9	4.510540367
RAND	_0.9	3.662643103
RAND	_0.9	7.628510189
RAND	_0.9	1.091969497
RAND	_0.9	0.822537906
RAND	_0.9	4.355991385
RAND	_0.9	12.66723563
RAND	_0.9	4.88530796
RAND	_0.9	7.233208142
RAND	_0.9	11.16788046
RAND	_0.9	8.862131359
RAND	_0.9	-0.088614252
RAND	_0.9	1.490210681
RAND	_0.9	7.137784498
RAND	_0.9	7.596643686
RAND	_0.9	11.13971455
RAND	_0.9	11.9268489
RAND	_0.9	1.672608494
RAND	_0.9	9.965040613
RAND	_0.9	9.116775487
RAND	_0.9	1.197279287
RAND	_0.9	3.482863314
RAND	_0.9	3.75627825
RAND	_0.9	8.904872416
RAND	_0.9	14.01283567
RAND	_0.9	3.737364121
RAND	_0.9	2.788754027
RAND	_0.9	8.384932279
RAND	_0.9	9.132123272
RAND	_0.9	2.673200409
RAND	_0.9	8.309754441
RAND	_0.9	-0.264493926
RAND	_0.9	9.704659775
RAND	_0.9	5.77631539
RAND	_0.9	12.14336614
RAND	_0.9	4.655396908
RAND	_0.9	10.04914184
RAND	_0.9	7.325770907
RAND	_0.9	17.04956184
RAND	_0.9	10.95132873
RAND	_0.9	10.55907282
RAND	_0.9	2.050205651
RAND	_0.9	10.36819647
RAND	_0.9	10.70687925
RAND	_0.9	7.392239611
RAND	_0.9	5.760588165
RAND	_0.9	9.416163014
RAND	_0.9	2.562908084
RAND	_0.9	3.602773604
RAND	_0.9	9.363886184
RAND	_0.9	1.153290942
RAND	_0.9	8.269975325
RAND	_0.9	8.543342435
RAND	_0.9	4.273877762
RAND	_0.9	0.008527766
RAND	_0.9	1.23989168
RAND	_0.9	7.126708261
RAND	_0.9	12.08522127
RAND	_0.9	4.000665384
RAND	_0.9	5.600969178
SOD	_0.5	2.659769878
SOD	_0.5	-0.679911309
SOD	_0.5	0.17890175
SOD	_0.5	1.045145171
SOD	_0.5	1.015173592
SOD	_0.5	1.629917937
SOD	_0.5	0.652796619
SOD	_0.5	1.015455282
SOD	_0.5	3.22177287
SOD	_0.5	0.319512249
SOD	_0.5	-0.22235211
SOD	_0.5	1.902075143
SOD	_0.5	1.398793428
SOD	_0.5	1.05221071
SOD	_0.5	0.063148838
SOD	_0.5	0.508135749
SOD	_0.5	0.163645676
SOD	_0.5	-0.166492372
SOD	_0.5	5.373241562
SOD	_0.5	8.252158699
SOD	_0.5	-0.573143118
SOD	_0.5	0.26479835
SOD	_0.5	2.393803631
SOD	_0.5	5.641329164
SOD	_0.5	1.83997824
SOD	_0.5	0.262712465
SOD	_0.5	0.521218342
SOD	_0.5	7.522754784
SOD	_0.5	1.00982386
SOD	_0.5	3.453831482
SOD	_0.5	1.239780782
SOD	_0.5	0.138501904
SOD	_0.5	0.423859708
SOD	_0.5	10.63303348
SOD	_0.5	2.912689251
SOD	_0.5	-1.093155241
SOD	_0.5	0.555104151
SOD	_0.5	6.900969178
SOD	_0.5	0.166532454
SOD	_0.5	-0.104782492
SOD	_0.5	2.831562621
SOD	_0.5	-0.396083762
SOD	_0.5	1.163253576
SOD	_0.5	4.437472415
SOD	_0.5	0.468806825
SOD	_0.5	2.604392433
SOD	_0.5	-0.761353515
SOD	_0.5	1.518184809
SOD	_0.5	-0.382754879
SOD	_0.5	0.109199522
SOD	_0.5	1.00056701
SOD	_0.5	-0.744992501
SOD	_0.5	4.60678496
SOD	_0.5	5.181357367
SOD	_0.5	-0.900419375
SOD	_0.5	0.311467788
SOD	_0.5	1.301827816
SOD	_0.5	-0.577849664
SOD	_0.5	0.062334393
SOD	_0.5	-0.985607544
SOD	_0.5	7.497511845
SOD	_0.5	1.682818257
SOD	_0.5	1.796680279
SOD	_0.5	-0.040452434
SOD	_0.5	0.426944258
SOD	_0.5	10.57481863
SOD	_0.5	11.72208767
SOD	_0.5	-0.045930186
SOD	_0.5	0.611709989
SOD	_0.5	1.092503258
SOD	_0.5	-1.053407885
SOD	_0.5	4.326436545
SOD	_0.5	0.285950208
SOD	_0.5	4.744181759
SOD	_0.5	0.595306239
SOD	_0.5	0.248723734
SOD	_0.5	-0.215026116
SOD	_0.5	0.495666766
SOD	_0.5	0.108065009
SOD	_0.5	2.287303883
SOD	_0.5	7.232252742
SOD	_0.5	0.928051658
SOD	_0.5	1.488935021
SOD	_0.5	0.713733202
SOD	_0.5	-0.266175133
SOD	_0.5	1.325494737
SOD	_0.5	0.775547565
SOD	_0.5	8.744336542
SOD	_0.5	2.146560619
SOD	_0.5	-0.832083356
SOD	_0.5	2.714182541
SOD	_0.5	0.174355887
SOD	_0.5	-0.224777312
SOD	_0.5	3.202979871
SOD	_0.5	1.37279142
SOD	_0.5	-0.181262342
SOD	_0.5	2.050405397
SOD	_0.5	0.966153419
SOD	_0.5	0.510185822
SOD	_0.5	0.877246277
SOD	_0.75	2.435966762
SOD	_0.75	-0.507145427
SOD	_0.75	1.286818972
SOD	_0.75	0.405536368
SOD	_0.75	1.661868657
SOD	_0.75	-0.589189979
SOD	_0.75	0.185850388
SOD	_0.75	1.577487324
SOD	_0.75	-0.442083116
SOD	_0.75	1.608434388
SOD	_0.75	-0.391888112
SOD	_0.75	1.499685337
SOD	_0.75	3.42137713
SOD	_0.75	0.981788175
SOD	_0.75	-0.02273177
SOD	_0.75	0.435699961
SOD	_0.75	1.021279183
SOD	_0.75	1.791694798
SOD	_0.75	4.387270548
SOD	_0.75	0.460450997
SOD	_0.75	-0.297379085
SOD	_0.75	0.128761715
SOD	_0.75	0.598253156
SOD	_0.75	5.530608688
SOD	_0.75	-1.113276448
SOD	_0.75	-0.292314979
SOD	_0.75	2.226795641
SOD	_0.75	0.030459153
SOD	_0.75	0.062792163
SOD	_0.75	10.881484
SOD	_0.75	-0.295877821
SOD	_0.75	-1.578898098
SOD	_0.75	-0.931573854
SOD	_0.75	-0.461662329
SOD	_0.75	-0.089189979
SOD	_0.75	-0.713787605
SOD	_0.75	-0.976985109
SOD	_0.75	3.048752469
SOD	_0.75	1.373700724
SOD	_0.75	1.233198873
SOD	_0.75	-1.089150651
SOD	_0.75	-0.412051826
SOD	_0.75	1.489151303
SOD	_0.75	2.429476626
SOD	_0.75	1.011680872
SOD	_0.75	3.669483927
SOD	_0.75	0.466234736
SOD	_0.75	0.243341247
SOD	_0.75	0.333323422
SOD	_0.75	0.454863189
SOD	_0.75	0.76998337
SOD	_0.75	-0.142760081
SOD	_0.75	4.584932279
SOD	_0.75	1.30718756
SOD	_0.75	-0.903335601
SOD	_0.75	-0.214674567
SOD	_0.75	0.361981896
SOD	_0.75	-0.290657243
SOD	_0.75	-1.081193175
SOD	_0.75	-0.336990872
SOD	_0.75	1.370802106
SOD	_0.75	-0.126556004
SOD	_0.75	1.288540221
SOD	_0.75	1.130641415
SOD	_0.75	-0.45630301
SOD	_0.75	2.153916868
SOD	_0.75	0.417990934
SOD	_0.75	-0.768999992
SOD	_0.75	0.481555871
SOD	_0.75	1.063794267
SOD	_0.75	-0.805822808
SOD	_0.75	3.209696406
SOD	_0.75	-1.268058373
SOD	_0.75	-0.461259485
SOD	_0.75	-0.002268268
SOD	_0.75	-0.949076701
SOD	_0.75	0.844898977
SOD	_0.75	-0.438184481
SOD	_0.75	-1.168965745
SOD	_0.75	1.361104687
SOD	_0.75	-0.669828955
SOD	_0.75	0.869795017
SOD	_0.75	0.531733759
SOD	_0.75	0.313862531
SOD	_0.75	-1.064489491
SOD	_0.75	1.384868249
SOD	_0.75	1.265734055
SOD	_0.75	10.16409618
SOD	_0.75	0.253470431
SOD	_0.75	0.0229716
SOD	_0.75	3.553179687
SOD	_0.75	1.936084525
SOD	_0.75	1.189884845
SOD	_0.75	1.620219236
SOD	_0.75	1.526971358
SOD	_0.75	-0.230027111
SOD	_0.75	0.991828633
SOD	_0.75	1.637033809
SOD	_0.75	-0.817710865
SOD	_0.75	-0.220242375
SOD	_0.9	4.33276073
SOD	_0.9	0.381007339
SOD	_0.9	-0.586603997
SOD	_0.9	0.301951088
SOD	_0.9	-0.697940029
SOD	_0.9	-0.449880387
SOD	_0.9	1.246026046
SOD	_0.9	-0.419497516
SOD	_0.9	-0.336408476
SOD	_0.9	2.127174438
SOD	_0.9	0.338897844
SOD	_0.9	0.347551757
SOD	_0.9	6.10986941
SOD	_0.9	0.169202592
SOD	_0.9	-0.180108172
SOD	_0.9	-0.738077561
SOD	_0.9	-0.389886912
SOD	_0.9	0.131730211
SOD	_0.9	3.474092416
SOD	_0.9	0.496885429
SOD	_0.9	-0.709775675
SOD	_0.9	0.189495831
SOD	_0.9	0.811440427
SOD	_0.9	-0.894077486
SOD	_0.9	-1.272039826
SOD	_0.9	-0.153832363
SOD	_0.9	0.522184833
SOD	_0.9	0.275213853
SOD	_0.9	1.046521901
SOD	_0.9	-0.691962208
SOD	_0.9	0.098488376
SOD	_0.9	0.342989455
SOD	_0.9	-0.277493156
SOD	_0.9	-0.758700132
SOD	_0.9	-0.068041205
SOD	_0.9	0.786327727
SOD	_0.9	0.182888741
SOD	_0.9	-0.697432381
SOD	_0.9	0.289787381
SOD	_0.9	0.783256555
SOD	_0.9	1.6498491
SOD	_0.9	-0.310848464
SOD	_0.9	-0.545095604
SOD	_0.9	3.176248509
SOD	_0.9	0.080030239
SOD	_0.9	1.914977632
SOD	_0.9	1.531224254
SOD	_0.9	1.145102404
SOD	_0.9	0.458103211
SOD	_0.9	0.38172875
SOD	_0.9	0.072978114
SOD	_0.9	0.252192553
SOD	_0.9	0.893538756
SOD	_0.9	2.829581414
SOD	_0.9	-0.361001063
SOD	_0.9	-0.345171569
SOD	_0.9	0.194924115
SOD	_0.9	-0.876861465
SOD	_0.9	-0.28654506
SOD	_0.9	-0.849220968
SOD	_0.9	0.428867317
SOD	_0.9	-0.971420382
SOD	_0.9	0.757820085
SOD	_0.9	0.240888146
SOD	_0.9	0.439475645
SOD	_0.9	-0.156961386
SOD	_0.9	0.367655721
SOD	_0.9	-0.225229655
SOD	_0.9	-0.247890864
SOD	_0.9	0.448910808
SOD	_0.9	-0.345713308
SOD	_0.9	6.249531571
SOD	_0.9	1.364594596
SOD	_0.9	0.820267974
SOD	_0.9	0.374000021
SOD	_0.9	-1.32831453
SOD	_0.9	-0.288824929
SOD	_0.9	-0.615545702
SOD	_0.9	0.344570092
SOD	_0.9	2.30154508
SOD	_0.9	0.722471416
SOD	_0.9	0.029651777
SOD	_0.9	0.381646741
SOD	_0.9	1.213546089
SOD	_0.9	0.343796424
SOD	_0.9	1.066432495
SOD	_0.9	-0.58797876
SOD	_0.9	0.12889549
SOD	_0.9	-0.094864888
SOD	_0.9	1.774284778
SOD	_0.9	1.011541858
SOD	_0.9	0.635323422
SOD	_0.9	-0.575813411
SOD	_0.9	-0.486640131
SOD	_0.9	7.116850381
SOD	_0.9	1.078742016
SOD	_0.9	-0.138455866
SOD	_0.9	2.663196522
SOD	_0.9	0.373840196
SOD	_0.9	-0.244297041
SOR	_0.5	2.624394963
SOR	_0.5	8.150249872
SOR	_0.5	18.39006033
SOR	_0.5	1.903243888
SOR	_0.5	16.87659908
SOR	_0.5	8.114818287
SOR	_0.5	2.221354632
SOR	_0.5	7.312228501
SOR	_0.5	1.21224538
SOR	_0.5	8.450565471
SOR	_0.5	1.644093637
SOR	_0.5	3.606220371
SOR	_0.5	3.384266619
SOR	_0.5	2.075822428
SOR	_0.5	11.19000001
SOR	_0.5	7.831949154
SOR	_0.5	11.71707555
SOR	_0.5	1.426405542
SOR	_0.5	2.416811258
SOR	_0.5	2.782990406
SOR	_0.5	5.884430125
SOR	_0.5	9.712765721
SOR	_0.5	4.992355135
SOR	_0.5	3.268508337
SOR	_0.5	2.075410048
SOR	_0.5	0.606551511
SOR	_0.5	6.00573927
SOR	_0.5	6.027687144
SOR	_0.5	7.949698635
SOR	_0.5	3.129480971
SOR	_0.5	2.452863085
SOR	_0.5	2.630168729
SOR	_0.5	5.475212247
SOR	_0.5	3.27493798
SOR	_0.5	3.872794313
SOR	_0.5	10.7849282
SOR	_0.5	7.161844567
SOR	_0.5	4.463982877
SOR	_0.5	6.842863314
SOR	_0.5	5.091571225
SOR	_0.5	3.497944152
SOR	_0.5	12.7028231
SOR	_0.5	2.387269356
SOR	_0.5	0.761310189
SOR	_0.5	1.111259704
SOR	_0.5	4.476493868
SOR	_0.5	2.307625048
SOR	_0.5	8.181280575
SOR	_0.5	11.20333825
SOR	_0.5	4.231182074
SOR	_0.5	10.34057364
SOR	_0.5	0.068546586
SOR	_0.5	1.614541317
SOR	_0.5	6.245410692
SOR	_0.5	4.260371676
SOR	_0.5	2.452777518
SOR	_0.5	3.922254935
SOR	_0.5	5.420174491
SOR	_0.5	7.862139351
SOR	_0.5	11.06567051
SOR	_0.5	5.263918696
SOR	_0.5	10.37209696
SOR	_0.5	2.777541555
SOR	_0.5	12.15525916
SOR	_0.5	3.612288092
SOR	_0.5	6.891900726
SOR	_0.5	6.616289813
SOR	_0.5	9.234428368
SOR	_0.5	8.989647856
SOR	_0.5	7.777745952
SOR	_0.5	5.331138465
SOR	_0.5	1.399767035
SOR	_0.5	4.948491699
SOR	_0.5	6.699180404
SOR	_0.5	6.200081022
SOR	_0.5	12.41011467
SOR	_0.5	6.82297873
SOR	_0.5	2.964057568
SOR	_0.5	5.247042228
SOR	_0.5	10.58889419
SOR	_0.5	7.293600421
SOR	_0.5	2.668092466
SOR	_0.5	7.666870371
SOR	_0.5	6.742215846
SOR	_0.5	1.043947405
SOR	_0.5	7.836388747
SOR	_0.5	0.989994962
SOR	_0.5	2.317637704
SOR	_0.5	10.27828487
SOR	_0.5	7.91617785
SOR	_0.5	8.279140127
SOR	_0.5	12.67025478
SOR	_0.5	3.218718026
SOR	_0.5	8.719311791
SOR	_0.5	0.65630353
SOR	_0.5	9.954587452
SOR	_0.5	2.88744763
SOR	_0.5	6.337443659
SOR	_0.5	4.862615546
SOR	_0.5	10.76878489
SOR	_0.75	0.484530822
SOR	_0.75	6.714210552
SOR	_0.75	13.23716893
SOR	_0.75	7.507123272
SOR	_0.75	4.193912673
SOR	_0.75	10.0104219
SOR	_0.75	1.730724238
SOR	_0.75	3.187354368
SOR	_0.75	3.041404565
SOR	_0.75	14.28822647
SOR	_0.75	2.832740527
SOR	_0.75	9.872202055
SOR	_0.75	1.220263574
SOR	_0.75	3.518738925
SOR	_0.75	6.557036253
SOR	_0.75	5.026315402
SOR	_0.75	3.553645104
SOR	_0.75	4.524086476
SOR	_0.75	1.27589451
SOR	_0.75	2.024256849
SOR	_0.75	13.24700125
SOR	_0.75	7.671300251
SOR	_0.75	5.062338153
SOR	_0.75	2.007154176
SOR	_0.75	4.256028427
SOR	_0.75	1.045129253
SOR	_0.75	5.755819429
SOR	_0.75	3.124996449
SOR	_0.75	8.007590592
SOR	_0.75	4.614774787
SOR	_0.75	9.542130262
SOR	_0.75	4.156991288
SOR	_0.75	4.697709623
SOR	_0.75	1.48854256
SOR	_0.75	2.368380555
SOR	_0.75	11.382376
SOR	_0.75	6.195960143
SOR	_0.75	2.779758913
SOR	_0.75	6.075457628
SOR	_0.75	8.007001245
SOR	_0.75	6.401125341
SOR	_0.75	12.8266868
SOR	_0.75	5.129656865
SOR	_0.75	0.180421233
SOR	_0.75	6.432078264
SOR	_0.75	4.165118029
SOR	_0.75	1.767713404
SOR	_0.75	1.808335544
SOR	_0.75	4.721099808
SOR	_0.75	4.383205846
SOR	_0.75	4.419749593
SOR	_0.75	5.818402296
SOR	_0.75	1.183178725
SOR	_0.75	4.847992877
SOR	_0.75	3.844475879
SOR	_0.75	7.787094055
SOR	_0.75	5.543587305
SOR	_0.75	3.84126905
SOR	_0.75	5.500569197
SOR	_0.75	8.154896994
SOR	_0.75	4.769095827
SOR	_0.75	5.353450376
SOR	_0.75	1.86446966
SOR	_0.75	6.546279757
SOR	_0.75	10.65817314
SOR	_0.75	3.384146956
SOR	_0.75	3.075770907
SOR	_0.75	4.138620069
SOR	_0.75	8.537933929
SOR	_0.75	7.527004095
SOR	_0.75	12.65865206
SOR	_0.75	1.157053702
SOR	_0.75	5.77493798
SOR	_0.75	8.954375687
SOR	_0.75	9.287846346
SOR	_0.75	8.209316924
SOR	_0.75	6.787111061
SOR	_0.75	4.024256849
SOR	_0.75	14.71584698
SOR	_0.75	10.13581952
SOR	_0.75	7.246795512
SOR	_0.75	0.647544521
SOR	_0.75	8.67279142
SOR	_0.75	9.484631881
SOR	_0.75	0.855668532
SOR	_0.75	11.98694123
SOR	_0.75	6.017798164
SOR	_0.75	1.329154168
SOR	_0.75	6.559149144
SOR	_0.75	6.041497715
SOR	_0.75	1.387760006
SOR	_0.75	12.27973586
SOR	_0.75	5.225042116
SOR	_0.75	2.785178329
SOR	_0.75	0.24601236
SOR	_0.75	10.13639946
SOR	_0.75	7.577562742
SOR	_0.75	3.089308044
SOR	_0.75	6.253346975
SOR	_0.75	8.891637366
SOR	_0.9	-0.126288754
SOR	_0.9	7.524242624
SOR	_0.9	7.103301003
SOR	_0.9	6.862975729
SOR	_0.9	0.985854109
SOR	_0.9	10.2450243
SOR	_0.9	12.48976444
SOR	_0.9	10.05699467
SOR	_0.9	0.921936644
SOR	_0.9	4.666202899
SOR	_0.9	1.255892196
SOR	_0.9	2.838891522
SOR	_0.9	1.543614159
SOR	_0.9	3.733201881
SOR	_0.9	6.103552969
SOR	_0.9	4.220606418
SOR	_0.9	3.6777359
SOR	_0.9	9.575903116
SOR	_0.9	1.348819686
SOR	_0.9	-0.460553452
SOR	_0.9	9.163801341
SOR	_0.9	9.503250252
SOR	_0.9	5.969824069
SOR	_0.9	1.375698303
SOR	_0.9	3.104281399
SOR	_0.9	1.302130901
SOR	_0.9	6.628089207
SOR	_0.9	1.677950703
SOR	_0.9	4.244907323
SOR	_0.9	3.73854256
SOR	_0.9	2.103782954
SOR	_0.9	2.513069197
SOR	_0.9	7.526970608
SOR	_0.9	0.293897797
SOR	_0.9	1.811526869
SOR	_0.9	6.653019955
SOR	_0.9	5.688412726
SOR	_0.9	2.49476532
SOR	_0.9	5.404584135
SOR	_0.9	2.095454525
SOR	_0.9	7.495451204
SOR	_0.9	7.177950703
SOR	_0.9	2.741873504
SOR	_0.9	1.528357571
SOR	_0.9	5.979464913
SOR	_0.9	1.881299183
SOR	_0.9	11.75028425
SOR	_0.9	7.379735864
SOR	_0.9	1.834474613
SOR	_0.9	11.80130039
SOR	_0.9	5.38670243
SOR	_0.9	15.28422034
SOR	_0.9	-0.33211954
SOR	_0.9	5.01806419
SOR	_0.9	6.699880528
SOR	_0.9	9.178843007
SOR	_0.9	9.684666143
SOR	_0.9	3.346653739
SOR	_0.9	4.624880491
SOR	_0.9	5.725830942
SOR	_0.9	1.597693674
SOR	_0.9	1.809759866
SOR	_0.9	5.015900842
SOR	_0.9	6.968380555
SOR	_0.9	11.59640253
SOR	_0.9	3.021402531
SOR	_0.9	3.912460806
SOR	_0.9	6.765102211
SOR	_0.9	11.31981416
SOR	_0.9	8.702092616
SOR	_0.9	3.418998138
SOR	_0.9	0.026929663
SOR	_0.9	2.211712271
SOR	_0.9	5.979549747
SOR	_0.9	3.909252642
SOR	_0.9	7.68678371
SOR	_0.9	5.43051951
SOR	_0.9	2.817637704
SOR	_0.9	5.961407837
SOR	_0.9	4.065509058
SOR	_0.9	8.496457432
SOR	_0.9	2.57948267
SOR	_0.9	6.476648597
SOR	_0.9	9.428346975
SOR	_0.9	0.610571294
SOR	_0.9	6.9076909
SOR	_0.9	6.333845891
SOR	_0.9	0.145247056
SOR	_0.9	7.353934754
SOR	_0.9	7.095425269
SOR	_0.9	4.268878504
SOR	_0.9	8.663181109
SOR	_0.9	4.565410052
SOR	_0.9	5.133607519
SOR	_0.9	-0.107107749
SOR	_0.9	7.681899892
SOR	_0.9	2.552242391
SOR	_0.9	7.088972835
SOR	_0.9	5.528372921
SOR	_0.9	7.112735155
