	10-2_SocialGrpSize	13-1_AdultHeadBodyLen_mm	15-1_LitterSize	17-1_MaxLongevity_m	21-1_PopulationDensity_n/km2	23-1_SexualMaturityAge_d	25-1_WeaningAge_d	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm	5-1_AdultBodyMass_g	5-3_NeonateBodyMass_g	9-1_GestationLen_d
Redunca_fulvorufula	4.75	1230.00		147.96	7.77	326.81	82.12	1134766.50	9.55	-34.21	-12.32	66.93	194.07	898.09	1364.88	29352.66	2719.09	222.99
Tragulus_javanicus	1.00	514.29	0.98	144.00		157.32	21.00									1889.93		158.55
Beatragus_hunteri	13.50	1600.00	1.00	182.04	0.42			30188.68	0.80	-1.95	-0.57	42.28	272.23	643.41	1847.86	79132.17	8350.00	252.28
Tragelaphus_buxtoni	15.00	2249.44	1.00	132.00	80.50	755.15		41913.30	9.35	6.16	7.76	65.43	109.12	994.44	1441.72	215000.75		
Equus_hemionus	3.00	2250.00	1.00	465.60	0.69	1184.16	456.25	1325419.50	50.78	22.49	36.64	21.11	82.53	253.84	841.66	235248.07		346.00
Rusa_unicolor		2040.00	1.00	317.04	4.89	620.76		7050571.04	29.99	-5.94	12.02	152.82	224.61	1103.12	1467.16	177522.90	10270.00	246.00
Ozotoceros_bezoarticus	3.50	1224.74	1.00			350.76	362.93	3649669.28	-7.21	-36.56	-21.88	110.35	214.66	1103.34	1328.48	34620.40	2100.00	220.38
Hemitragus_jemlahicus			1.01	261.60		1532.89		130100.31	33.52	26.66	30.09	121.77	54.31	884.01	1143.07	68616.43	2700.00	195.76
Kobus_megaceros				224.04	0.34			82555.03	9.98	6.05	8.02	71.90	269.48	878.23	1622.11	85805.93		
Rangifer_tarandus		2224.35	2.00	242.40	2.55	758.71	136.87	18376464.07	83.62	45.55	64.59	29.21	-90.47	236.86	260.98	109088.50	5490.62	222.50
Cephalophus_leucogaster		939.32	1.00	63.96				1396673.01	5.15	-6.05	-0.45	145.99	239.75	1385.58	1555.72	13208.69		
Tapirus_pinchaque			1.00		0.27	1113.70	339.47	178168.26	5.30	-5.35	-0.02	148.68	214.12	1361.82	1463.08	156923.40	4720.00	393.99
Antilope_cervicapra	30.00	1250.00	1.22	243.00	4.25	700.04	59.50	1248646.60	29.43	8.06	18.75	76.83	256.63	688.10	1447.00	36301.10	3386.14	166.59
Ovis_canadensis		1565.50	1.16	288.00	1.48	761.25	130.80	2457850.19	57.15	23.82	40.48	27.23	78.78	367.79	825.62	74644.87	4115.85	177.49
Cephalophus_ogilbyi		1000.00	1.00					231511.16	7.15	-3.46	1.84	190.65	251.54	1242.62	1549.15	18386.42		121.66
Naemorhedus_baileyi		1040.00	1.50	219.00				105198.47	29.24	24.64	26.94	173.39	53.05	1038.97	1190.61	28863.45		212.91
Capreolus_pygargus		1320.00	2.00		80.00	908.84	136.10	9816965.75	62.64	31.25	46.94	32.33	-14.85	367.70	511.78	41371.03	1923.53	290.00
Bos_sauveli	20.00	2175.00				755.15		115557.18	15.48	12.04	13.76	170.36	251.45	1144.18	1581.73	791321.76		
Dicerorhinus_sumatrensis		2769.99	1.00	420.00	1.05	2784.26	362.93	594010.97	6.73	-5.38	0.67	238.66	248.86	1703.18	1778.81	1046156.04	22849.50	310.19
Dorcatragus_megalotis	7.00	779.98	1.00	168.00				77951.19	11.69	8.73	10.21	14.58	243.49	197.41	1769.61	10918.12		
Redunca_arundinum	1.75	1505.00	0.98	201.00	0.65			5149998.73	-2.09	-31.07	-16.58	86.11	218.56	899.47	1455.42	58059.24	4500.00	220.52
Cephalophus_natalensis	2.00	786.14	1.00	180.00	6.92			1208751.28	-7.38	-31.13	-19.25	79.36	228.97	924.61	1494.49	12724.51	954.89	212.97
Cephalophus_niger		1041.80	1.00	122.04	1.14		89.49	726891.40	9.29	4.29	6.79	154.49	259.80	1256.50	1574.35	19094.32	1940.00	126.00
Philantomba_maxwellii	1.95	845.23	1.00	147.00	5.97	344.87	60.48	1214155.52	13.85	4.35	9.10	146.15	261.68	1134.69	1563.70	8557.69	827.49	205.00
Pseudois_schaeferi								61143.76	32.97	28.14	30.55	160.67	-11.81	618.76	889.23	29249.99		
Hippocamelus_bisulcus	1.90	1550.00	1.00		1.12			121225.02	-36.52	-50.74	-43.63	143.42	34.95	527.52	643.53	69240.81	3575.62	212.91
Muntiacus_crinifrons			1.00					128303.40	31.80	27.08	29.44	117.90	142.00	1020.00	1047.24	18590.01		195.57
Bubalus_mindorensis	1.00	2199.99	1.00	336.00		755.15		9912.75	13.53	12.20	12.86	196.39	239.81			254389.74		306.06
Oreotragus_oreotragus	2.00	824.99	0.98	213.96	2.62	371.23	136.87	5375303.33	19.29	-34.83	-7.77	66.50	209.37	776.24	1452.31	13486.55	1130.00	214.00
Oreamnos_americanus	3.00	1297.33	1.40	230.04		964.59	84.86	1137827.98	64.61	43.51	54.06	66.00	-10.46	324.18	429.51	72105.40	3080.81	181.24
Naemorhedus_caudatus				108.96				757390.24	49.62	34.47	42.04	45.40	33.36	540.98	686.56	26999.99		
Sus_cebifrons	4.50	1349.99	4.58			283.18	105.85	27761.56	12.60	9.03	10.82	160.41	254.91	1479.27	1759.33	190792.30		125.14
Damaliscus_lunatus	3.60	1700.00	0.98	216.00	2.74	665.30		1266510.50	-6.24	-26.69	-16.46	79.47	215.81	806.64	1417.25	136000.33	11000.00	238.00
Bubalus_depressicornis	1.00	1728.58	1.00	432.96		755.15		41026.70	0.85	-3.51	-1.33	227.75	197.83	1814.71	1867.36	256989.27		295.78
Ammotragus_lervia		1449.99	1.22	252.00		507.09	121.66	1447450.84	35.21	14.47	24.84	5.62	225.35	103.32	1256.23	94202.22	4500.00	156.24
Catagonus_wagneri	5.75	1025.93	2.47	108.00	9.24	821.58	60.37	329880.88	-19.59	-26.58	-23.08	62.93	221.21	843.76	1163.15	35566.40	600.20	152.08
Raphicerus_melanotis	1.50			168.00	10.50			243785.08	-29.78	-34.83	-32.31	33.18	157.20	501.32	1107.93	10503.14		
Gazella_bennettii								1733312.37	34.26	15.43	24.85	57.22	248.26	529.23	1405.69	18916.67		
Bos_taurus				240.00		755.15		44447.62	15.08	11.85	13.46	174.94	228.73	1193.98	1450.23	618642.42		280.48
Neotragus_batesi		540.00	1.00	168.00		366.52		1089948.06	8.02	-4.03	1.99	144.95	238.25	1384.80	1560.58	2967.45	499.99	181.24
