	10-1_PopulationGrpSize	10-2_SocialGrpSize	13-1_AdultHeadBodyLen_mm	13-2_NeonateHeadBodyLen_mm	13-3_WeaningHeadBodyLen_mm	14-1_InterbirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	16-2_LittersPerYear_EXT	17-1_MaxLongevity_m	18-1_BasalMetRate_mLO2hr	2-1_AgeatEyeOpening_d	21-1_PopulationDensity_n/km2	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	23-1_SexualMaturityAge_d	24-1_TeatNumber	25-1_WeaningAge_d	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MidRangeLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	3-1_AgeatFirstBirth_d	30-1_AET_Mean_mm	30-2_PET_Mean_mm	5-1_AdultBodyMass_g	5-2_BasalMetRateMass_g	5-3_NeonateBodyMass_g	5-4_WeaningBodyMass_g	5-7_WeaningBodyMass_g_EXT	7-1_DispersalAge_d	8-1_AdultForearmLen_mm	9-1_GestationLen_d
Okapia_johnstoni		1.00	2000.00				0.98	1.00		396.00			1.02	4.63	6.00	947.05	4	181.46	1105797.06	5.13	-8.28	-1.57	30.73	18.12	24.43	1	19.42	2.00	0.14	143.90	240.38		1428.28	1604.05	230001.14		18325.61					442.99
Przewalskium_albirostris							1.00			216.00									1061382.86	39.57	27.88	33.72	103.96	91.70	97.83	0	12.83	0.00	0.04	80.94	-33.28		445.65	803.84	161681.90							263.41
Capra_walie							1.00						4.07						4294.50	13.63	13.07	13.35	38.75	37.94	38.34	30	63.17	30.00	0.16	81.20	206.38		764.20	1590.35	100144.02							157.50
Alcelaphus_buselaphus		20.00	1974.99			345.50	1.00		1.13	240.00			3.65	2.73	1.59	827.69	2	188.73	4706770.40	17.65	-6.03	5.81	45.78	-15.68	15.05	0	35.08	1.00	0.12	93.92	247.10	927.70	957.29	1598.47	160937.86		12500.00	47894.46				242.66
Muntiacus_putaoensis																			42695.33	27.89	25.55	26.72	98.61	95.97	97.29	1	7.79	1.00	0.05	194.24	142.94		1188.00	1274.60								
Mazama_rufina							1.22												14703.63	0.79	-1.67	-0.43	-77.46	-78.65	-78.05	4	61.14	4.00	0.11	176.24	132.58		1355.00	1399.66	21099.25							231.64
Nanger_dama	12.50	1.00	1462.78			182.50	1.00		1.56	207.96			0.18			109.36			1593778.59	28.23	12.21	20.22	33.87	-9.02	12.42	0	5.49	0.00	0.05	14.97	271.89		263.81	1507.48	71424.81							194.93
Cephalophus_weynsi										183.00									1692834.41	5.14	-6.81	-0.83	37.26	16.17	26.72	0	42.21	3.00	0.16	134.53	234.61		1411.19	1589.32								
Muntiacus_gongshanensis																			170.54	29.65	27.52	28.59	98.85	96.25	97.55	2	8.56	2.00	0.03	188.44	-21.62		870.87	1006.82	18590.01							
Rusa_marianna			1255.00																220497.90	18.65	5.55	12.10	126.60	116.93	121.76	19	222.54	32.00	0.10	206.29	239.59		1469.48	1725.15	49457.61							
Hemitragus_hylocrius			1385.00			237.25	1.41		1.36	207.00							3	27.28	2109.89	11.46	8.44	9.95	77.57	76.42	76.99	233	486.13	233.00	0.05	146.23	259.75	669.16	1139.48	1559.51	74186.41							186.35
Addax_nasomaculatus	61.25	12.62				360.00	1.00		1.10	308.04							4		1168708.88	26.45	14.60	20.52	32.63	-16.77	7.93	0	1.49	0.00	0.08	5.51	264.48	1066.86	130.78	1382.39	96077.36		5633.76					262.74
Procapra_gutturosa			1243.28			365.00	1.41		1.10	84.00						893.06		38.97	322170.90	49.45	42.09	45.77	117.77	91.47	104.62	0	1.55	1.00	0.03	23.87	6.27		281.70	520.80	28274.27		2900.00					189.94
Equus_quagga										240.00																									400000.00							
Cephalophus_rufilatus		1.00	650.00				1.00			114.00			3.18				4	85.59	3098970.49	16.10	2.73	9.41	31.61	-17.53	7.03	0	46.79	1.00	0.11	108.89	259.92	794.63	973.28	1601.70	12114.57		975.10					233.99
Taurotragus_derbianus	50.00		2522.02							194.04			0.74			755.15			937936.53	14.03	3.48	8.76	31.51	-14.48	8.51	0	9.11	0.00	0.06	109.60	255.49		1024.39	1636.81	646024.25							
Sus_scrofa		13.00	1349.99	239.99	419.99	230.00	4.52	1.50		252.00			3.54	1.18	5.80	350.76	11	97.88	25951693.02	59.99	-8.78	25.60	138.36	-9.89	64.23	0	145.57	1.00	0.06	64.68	116.91	312.00	567.82	964.89	84471.54		807.77	6469.99				115.20
Axis_calamianensis			1387.44				2.00												1345.40	12.33	11.66	11.99	120.34	119.84	120.09	29	36.99	29.00	0.21						39812.60							224.00
Capricornis_swinhoei																			11915.86	25.01	22.13	23.57	121.72	120.56	121.14	70	595.77	70.00	0.03	165.28	148.86											
Gazella_arabica			1000.00				1.50			135.96									17363.03	14.41	13.05	13.73	45.72	43.57	44.65	32	137.77	32.00	0.29	4.53	166.59		137.32	1739.51	24124.67							
Sus_bucculentus																			2834.16	18.64	17.70	18.17	105.41	104.78	105.09	9	92.29	9.00	0.11	150.27	202.74		1091.86	1386.11								
Gazella_erlangeri																			153353.23	17.38	12.59	14.99	46.73	42.59	44.66	1	80.01	3.00	0.24	9.51	195.19		268.57	1592.18								
Tetracerus_quadricornis			1000.00			316.00	1.65		1.18	129.96									1865786.32	31.53	13.04	22.28	87.11	70.50	78.80	7	286.57	62.00	0.10	78.16	251.34	365.00	688.88	1414.33	19282.12		1040.00					207.31
Sus_verrucosus		5.00	1250.00				5.47			168.00							12		97964.63	-5.72	-8.78	-7.25	114.60	106.05	110.32	270	777.30	407.00	0.04	190.85	242.83		1361.71	1641.83	89406.23							121.66
Oryx_dammah	30.00	30.00	1910.00				1.00			245.04							4		214297.23	18.51	13.98	16.24	21.38	9.17	15.28	0	1.79	0.00	0.07	15.15	281.02	1001.31	224.55	1591.57	199798.95		9706.02					248.00
Raphicerus_sharpei		1.50	679.99				1.00			168.00			0.51				4		2548307.11	-3.42	-27.16	-15.29	40.84	22.67	31.75	1	25.40	2.00	0.16	78.96	221.75		845.74	1477.87	9396.90							212.91
Tragelaphus_eurycerus		13.50	2274.99				1.00			233.00			0.40			887.46			2564432.61	10.00	-5.83	2.08	37.81	-12.64	12.58	0	30.97	1.00	0.11	143.55	243.77		1379.01	1585.05	270998.37		19944.92					284.99
Axis_kuhlii			1375.00				1.22	1.30					4.44						197.86	-5.72	-5.86	-5.79	112.73	112.56	112.64	625	625.00	625.00	0.01						54999.99							227.49
Cephalophus_silvicultor		1.00	1324.76			306.00	1.00		1.20	207.96			0.50				4	34.90	6018051.89	13.58	-17.38	-1.89	37.39	-16.79	10.29	0	36.82	1.00	0.13	132.70	240.01		1197.42	1541.12	62006.60		4400.72					234.43
Moschus_moschiferus	1.00	1.00	899.99				1.74	1.00						0.13	0.45	486.66		47.14	8554234.60	72.50	34.28	53.39	166.34	83.41	124.87	0	20.86	0.00	-0.02	31.16	-83.78		317.71	367.73	13315.57		498.39					175.92
Moschiola_meminna			540.00				1.50						2.74						1572492.46	24.02	5.91	14.97	87.96	72.61	80.28	22	324.33	90.00	0.08	100.68	258.76		830.56	1542.27	3130.95		319.00					153.53
Ovis_nivicola							1.00									841.82			1645753.65	70.76	51.56	61.16	179.99	-179.99	-2.84268e-04	0	0.35	0.00	-0.31	25.79	-132.94		192.37	239.61	90000.00							
Hylochoerus_meinertzhageni		10.00	2028.75			365.00	4.00		1.10	216.00			1.50			521.59	6	62.82	2227871.01	11.77	-4.45	3.65	41.41	-14.78	13.31	0	45.11	1.00	0.10	138.34	233.53	532.29	1288.14	1558.22	198130.47							151.00
Capra_hircus				375.56		365.00	1.45		1.10	249.60			7.58	98.30	47.24	498.97	3	158.04														669.16			47386.47		2136.11					156.00
Capricornis_sumatraensis			1449.99				1.22			252.00							4	166.34	237174.87	8.99	-5.94	1.52	104.72	95.18	99.95	3	95.83	17.00	0.11	227.32	246.68		1679.87	1776.28	110942.22		4100.00					231.37
Sylvicapra_grimmia		1.00	960.71			234.00	0.98	2.00		171.96			2.42			293.14	4	60.83	14120906.18	16.39	-34.83	-9.22	46.19	-17.53	14.33	0	33.95	1.00	0.13	80.82	227.72	608.33	847.89	1495.94	15639.15		1581.45	4955.54				174.89
Babyrousa_togeanensis																			536.65	-0.23	-0.57	-0.40	122.14	121.64	121.89	21	27.66	21.00	0.10													
Litocranius_walleri		8.00	1500.00			240.77	1.00		1.35	156.00			0.43			841.82			1594552.70	11.64	-5.72	2.96	51.01	35.26	43.14	1	20.86	2.00	0.09	40.53	238.78	562.70	596.79	1643.47	38804.37							204.15
Muntiacus_puhoatensis																			1860.05	19.69	19.24	19.46	105.08	104.63	104.86	22	103.77	22.00	0.10	115.00	211.50		1061.77	1252.50								
Pelea_capreolus		10.25					1.00			147.96			18.71				4		866217.26	-22.59	-34.83	-28.71	31.75	16.92	24.34	0	34.26	1.00	0.10	42.22	164.23		592.41	1148.00	22731.33							260.99
Saiga_tatarica	517.50	27.50	1160.00			365.00	1.50		1.10	144.00			0.75			332.65		83.64	2926916.31	51.61	41.32	46.47	90.50	41.49	65.99	0	9.45	0.00	0.01	19.21	59.90		258.58	612.01	37734.01		3326.46					148.49
Moschus_chrysogaster		1.00	899.99				1.20	1.00						0.13		587.94		47.14	1480747.10	40.61	24.83	32.72	105.30	86.42	95.86	0	21.53	1.00	0.06	90.64	-8.59	730.00	556.83	874.85	13697.90		659.54					188.00
Mazama_pandora																			30465.15	21.31	19.21	20.26	-88.36	-90.50	-89.43	5	38.17	6.00	0.19	75.83	255.27		1136.87	1571.54								
Procapra_przewalskii																			40688.43	37.90	36.23	37.06	102.63	99.50	101.06	4	59.89	4.00	0.07	27.29	-24.13		398.79	826.16	27499.99							
Tragulus_kanchil																			3708821.44	24.14	-5.94	9.09	123.67	72.61	98.14	1	181.55	5.00	0.11	169.24	252.55		1207.55	1629.84								
Camelus_bactrianus		6.20				730.00	1.39	1.00		480.00			0.06			1330.60		368.13	188693.00	44.71	37.98	41.34	97.58	90.75	94.17	0	1.83	0.00	0.01	9.94	53.72	1460.00	66.85	612.43	554515.91		34346.64					397.99
Muntiacus_muntjak			994.99			241.00	1.00		1.35	211.20			3.12			338.33			7321434.07	32.36	-8.78	11.79	119.66	72.05	95.86	0	236.51	6.00	0.10	150.35	224.08		1094.18	1471.74	17611.59		1371.39					210.00
Hippocamelus_antisensis		7.30	1550.00				1.00			127.20			1.20						993123.79	2.63	-29.36	-13.36	-65.50	-78.72	-72.11	0	7.76	0.00	0.11	141.12	164.37		1109.84	1431.91	68599.35							235.72
Moschus_fuscus			899.99					1.00						0.13				47.14	121178.76	30.59	26.92	28.75	96.95	91.29	94.12	1	24.30	1.00	0.07	163.32	57.58		957.72	1174.42	13697.90							
Cervus_elaphus		17.50	2136.72				1.09			321.60			2.90	58.42	54.81	659.91		104.64	14167735.33	64.59	28.23	46.41	141.54	-124.73	8.40	0	60.79	0.00	0.04	44.42	27.73	993.71	421.62	662.37	240867.13		8255.82	43977.20				235.61
Kobus_vardonii		5.50	1340.00			365.00	1.00		1.10				4.78				4	212.91	1026509.33	-2.73	-18.63	-10.68	37.46	17.41	27.43	1	15.22	2.00	0.15	100.21	222.04		939.18	1482.09	71462.72		5798.07					258.09
Phacochoerus_africanus			1355.54							180.00				1.55			4		11093470.88	18.77	-32.00	-6.61	44.87	-17.53	13.66	0	33.08	1.00	0.13	86.12	233.01		891.76	1524.23	82499.99							172.49
Giraffa_camelopardalis		100.00	4177.03			608.33	1.29	1.00		435.60			1.23	81.52	99.56	1633.59	4	212.91	2791592.69	16.35	-25.59	-4.62	41.12	0.64	20.88	0	18.23	1.00	0.10	64.96	238.58	1825.00	783.50	1552.64	964654.73		55244.90					455.25
Cephalophus_callipygus			1014.28											0.32	0.30		4		788397.64	5.23	-6.05	-0.41	22.70	8.69	15.70	0	12.47	1.00	0.08	150.69	245.14		1312.40	1510.43	19079.23		2800.00					
Babyrousa_celebensis																			47657.62	1.55	-4.31	-1.37	125.29	119.82	122.55	17	45.21	17.00	0.07	231.15	206.52		1808.07	1884.79								
Pantholops_hodgsonii						365.00	1.00		1.10										1113531.45	36.73	28.92	32.83	99.29	80.73	90.01	0	1.69	0.00	0.06	49.94	-72.58		378.24	760.93	32733.12							212.91
Bos_grunniens		110.00					1.00	1.00		267.00						755.15		243.33	1523540.07	38.88	29.66	34.27	99.23	75.91	87.57	0	2.03	0.00	0.05	30.41	-59.31		246.20	732.74	500000.00							273.75
Aepyceros_melampus		15.25	1420.00			365.00	0.98		1.10	213.00			13.36	1.97	2.36	498.97	4	150.00	3926868.66	2.58	-28.42	-12.91	40.84	11.71	26.27	0	37.60	1.00	0.15	73.05	216.36	730.00	841.64	1480.32	52591.69		5238.40	14563.80				196.74
Bos_javanicus	21.00	40.00	2075.00				1.22	1.00		318.96			0.75			797.31		287.74	1687920.66	25.08	-8.78	8.15	118.35	94.94	106.64	1	139.21	4.00	0.11	187.69	239.18	912.50	1301.28	1592.26	635974.34							296.78
Cervus_nippon		7.50	1200.51	570.00			1.00			305.04			0.75	1.43	0.62	518.12	4	197.70	2714652.61	47.71	20.22	33.97	145.82	107.98	126.90	1	331.55	16.00	0.04	88.81	98.55	1095.00	789.14	883.95	52999.99		4277.11					223.66
Neotragus_pygmaeus		2.00	499.99				1.00			168.00							4		426515.09	9.27	4.35	6.81	0.13	-13.32	-6.59	3	74.42	8.00	0.07	176.50	256.17		1310.62	1560.33	3913.68							180.00
Saiga_borealis																			125569.97	49.00	44.35	46.67	99.24	91.70	95.47	1	1.04	1.00	0.01	13.57	-53.44		246.92	531.56								
Odocoileus_virginianus		2.25	1513.69			304.16	1.57		1.20	276.00			17.32	1.99	2.29	365.00	4	79.92	14446002.22	61.76	-17.98	21.89	-49.87	-130.91	-90.39	0	34.11	0.00	0.07	80.45	127.64	463.00	773.39	1025.50	75901.25		2949.99	29985.81				201.39
Capra_sibirica										267.00									2802214.24	55.63	31.43	43.53	106.03	61.59	83.81	0	23.15	1.00	0.09	20.81	-12.88		271.47	677.11	130000.00		3640.00					175.00
Capra_falconeri	11.00		1590.00				1.73			168.00						1015.00		167.29	155075.85	38.90	28.84	33.87	75.48	65.04	70.26	4	88.36	12.00	0.16	22.18	108.54	730.00	340.32	1154.28	54303.37							167.98
Syncerus_caffer	3000.00	12.00	2525.86			638.75	1.08	1.00		354.00			5.84	63.73	59.79	1683.65		319.37	11706834.65	15.85	-33.51	-8.82	43.95	-14.48	14.73	0	31.59	1.00	0.14	100.45	237.80	1460.00	1004.99	1548.94	592665.98		39843.11	151878.40				337.49
Axis_axis						425.83	1.01		1.01	249.60			6.69	0.67	2.67	543.68		121.66	2041090.04	28.58	5.91	17.25	89.82	73.11	81.46	22	361.47	93.00	0.09	96.14	256.61		814.10	1480.62	69499.99		3156.86					227.49
Madoqua_saltiana		1.50	595.00				1.00			168.00						253.75	4	41.99	1219720.78	19.33	0.20	9.77	51.41	35.96	43.68	1	20.77	3.00	0.09	31.60	244.74		453.34	1717.71	3424.47		672.79			327.33		
Capra_pyrenaica			1200.00				1.50			192.00				0.64	0.51		3		110472.50	42.03	36.01	39.02	2.38	-6.64	-2.13	3	72.31	7.00	0.01	42.64	131.93		478.71	1032.54	60898.77							150.00
Muntiacus_rooseveltorum							1.00												7016.69	19.91	18.88	19.40	104.26	103.55	103.91	5	12.82	5.00	0.11	128.18	195.20		996.13	1241.99	10762.64							212.49
Connochaetes_taurinus		20.00	2014.99			365.00	0.98		1.10	258.00	26460.00		7.99			841.82	2	256.32	3201113.49	-0.82	-30.44	-15.63	39.88	13.13	26.50	0	19.12	0.00	0.16	61.61	211.04	730.00	731.29	1433.23	198619.68	90000.00	18044.36	51051.33				251.49
Pseudoryx_nghetinhensis	4.50	1.00	1750.00													755.15			11820.15	19.53	15.74	17.64	107.71	104.07	105.89	5	77.59	6.00	0.10	167.14	206.16		1222.77	1415.47	97842.20							
Naemorhedus_griseus										207.96									1912280.46	35.44	22.46	28.95	119.64	84.34	101.99	1	166.30	2.00	0.07	121.08	95.96		880.65	1038.45								
Diceros_bicornis	1.00	1.00	2849.99			1049.37	1.00		0.64	564.00			0.11	11.48	13.24	2199.16		583.09	11451482.02	13.52	-34.83	-10.65	49.60	-12.45	18.57	0	30.49	1.00	0.12	70.41	225.90	2053.12	782.26	1502.76	995940.54		34999.99	426865.48				466.24
Mazama_chunyi							1.50												112162.09	-11.16	-17.37	-14.26	-66.87	-73.16	-70.01	0	14.11	1.00	0.07	205.34	174.89		1245.35	1433.88	16071.74							243.33
Bison_bonasus		35.00	2900.00			638.75	1.00	1.00		324.00			0.88	7.91	7.42	841.82		287.32														1068.38			675876.70		23358.61					265.99
Pseudois_nayaur	25.00		1299.99				1.22			288.00			2.49			420.91	2		3101839.68	41.55	27.33	34.44	111.28	75.32	93.30	0	19.15	0.00	0.06	55.16	-27.86	730.00	417.05	810.55	52334.57							159.74
Naemorhedus_goral	12.00		1060.00			365.00	1.00		1.10	211.20						1016.66	4	59.27	353466.24	35.69	26.78	31.24	95.96	71.88	83.92	0	102.31	1.00	0.08	106.99	53.89		873.39	1143.71	28796.51		2000.00					212.91
Hippotragus_niger		15.00	2035.00			365.00	1.00		1.10	267.00			1.30			972.17	4	210.73	3149646.92	-1.84	-25.41	-13.63	40.84	16.24	28.54	0	28.14	2.00	0.16	80.83	221.46	983.37	857.47	1492.34	236405.90		16412.18					272.87
Capra_nubiana							1.00			204.00									177986.79	32.88	14.18	23.53	57.13	31.50	44.31	0	13.75	1.00	0.18	7.67	208.54		137.73	1393.38	47763.72							150.00
Gazella_saudiya																																			16000.00							
Equus_kiang		40.00																	538675.46	39.16	27.75	33.45	99.69	75.24	87.46	0	7.01	0.00	0.06	36.44	-50.88		271.24	798.85	281138.63							260.76
Mazama_bororo																			28312.32	-23.54	-25.75	-24.65	-47.65	-49.64	-48.65	10	59.81	11.00	0.06	152.76	182.81		1240.93	1264.57								
Equus_grevyi			2700.00				1.00	0.50		312.00			2.27			1341.92		271.70	192991.31	9.57	-1.28	4.14	40.78	35.98	38.38	1	16.08	1.00	0.08	50.35	248.21	1642.50	808.59	1474.65	408000.35		39999.99			843.65		406.00
Cephalophus_brookei																			356101.47	8.95	4.35	6.65	-0.43	-13.16	-6.80	3	76.43	8.00	0.06	183.95	254.65		1328.35	1555.04								
Neotragus_moschatus		1.50	599.99				1.00			168.00			17.32			197.64	4		1612115.59	2.16	-28.74	-13.29	40.84	30.22	35.53	1	42.01	2.00	0.19	75.22	231.84		908.38	1518.29	5639.01							180.00
Budorcas_taxicolor	300.00	14.00	1736.00			365.00	1.22		1.10	234.96						928.08	4	118.55	402044.43	34.44	25.85	30.15	108.95	88.22	98.58	1	58.63	1.50	0.08	129.45	39.88		808.24	1002.24	294515.33							235.60
Procapra_picticaudata			980.00				1.00												1936510.55	39.03	28.25	33.64	102.50	77.75	90.12	0	4.54	0.00	0.05	46.84	-57.52		330.86	761.43	23197.67							
Capra_ibex						547.50	1.11		0.89	267.60						838.54	3	111.75	145098.13	47.90	43.76	45.83	15.50	4.76	10.13	12	135.27	26.00	0.03	87.78	42.76	912.50	586.20	627.49	69546.83		2779.07	15683.39				167.50
Capra_caucasica							1.09			264.00						1015.00	3		32781.87	43.82	40.83	42.33	48.52	40.00	44.26	9	40.22	10.50	0.02	57.31	-9.89		612.18	710.43	58149.52							155.00
Redunca_fulvorufula		4.75	1230.00	575.00		352.83			1.12	147.96			7.77	0.07		326.81	4	82.12	1134766.50	9.55	-34.21	-12.32	39.72	10.75	25.24	0	60.83	2.00	0.13	66.93	194.07		898.09	1364.88	29352.66		2719.09	8635.50				222.99
Tragulus_javanicus		1.00	514.29				0.98			144.00	872.10					157.32	4	21.00																	1889.93	1618.00						158.55
Hippotragus_leucophaeus																																			149999.99							
Beatragus_hunteri		13.50	1600.00				1.00			182.04			0.42				2		30188.68	0.80	-1.95	-0.57	42.52	39.93	41.23	1	6.59	1.00	0.04	42.28	272.23		643.41	1847.86	79132.17		8350.00					252.28
Tragelaphus_buxtoni	9.00	15.00	2249.44				1.00			132.00			80.50			755.15			41913.30	9.35	6.16	7.76	42.00	38.40	40.20	8	98.00	13.00	0.15	65.43	109.12		994.44	1441.72	215000.75							
Equus_hemionus	3.00	3.00	2250.00			547.50	1.00		0.89	465.60			0.69			1184.16		456.25	1325419.50	50.78	22.49	36.64	117.95	50.04	84.00	0	31.65	0.00	0.09	21.11	82.53	1277.50	253.84	841.66	235248.07					547.50		346.00
Rusa_unicolor			2040.00				1.00			317.04			4.89			620.76			7050571.04	29.99	-5.94	12.02	122.00	72.50	97.25	1	218.90	7.00	0.10	152.82	224.61	788.40	1103.12	1467.16	177522.90		10270.00					246.00
Ozotoceros_bezoarticus		3.50	1224.74			317.08	1.00		1.18					6.16	5.78	350.76		362.93	3649669.28	-7.21	-36.56	-21.88	-40.94	-66.51	-53.73	0	29.50	1.00	0.08	110.35	214.66		1103.34	1328.48	34620.40		2100.00					220.38
Hemitragus_jemlahicus	35.00					365.00	1.01		1.10	261.60						1532.89	3		130100.31	33.52	26.66	30.09	89.82	75.69	82.76	0	98.04	1.00	0.06	121.77	54.31	730.00	884.01	1143.07	68616.43		2700.00					195.76
Kobus_megaceros	50.00									224.04			0.34				4		82555.03	9.98	6.05	8.02	34.12	29.67	31.90	2	11.77	5.00	0.15	71.90	269.48		878.23	1622.11	85805.93							
Rangifer_tarandus	100000.00		2224.35			365.00	2.00		1.10	242.40			2.55	2771.22	2599.89	758.71		136.87	18376464.07	83.62	45.55	64.59	177.44	-168.12	4.65	0	1.07	0.00	-0.04	29.21	-90.47		236.86	260.98	109088.50		5490.62	24907.05				222.50
Cephalophus_leucogaster			939.32				1.00			63.96							4		1396673.01	5.15	-6.05	-0.45	30.64	8.69	19.67	0	19.68	1.00	0.11	145.99	239.75		1385.58	1555.72	13208.69							
Tapirus_pinchaque	1.00						1.00						0.27	6.38	7.67	1113.70		339.47	178168.26	5.30	-5.35	-0.02	-72.47	-79.76	-76.11	1	57.11	2.00	0.12	148.68	214.12		1361.82	1463.08	156923.40		4720.00					393.99
Antilope_cervicapra	27.50	30.00	1250.00			212.56	1.22	2.00		243.00			4.25	0.62		700.04		59.50	1248646.60	29.43	8.06	18.75	84.20	68.91	76.56	33	284.26	79.00	0.09	76.83	256.63	669.16	688.10	1447.00	36301.10		3386.14					166.59
Ovis_canadensis	5.50		1565.50			365.00	1.16		1.10	288.00	22100.00		1.48	18.94	15.96	761.25	2	130.80	2457850.19	57.15	23.82	40.48	-101.60	-123.90	-112.75	0	7.02	0.00	0.10	27.23	78.78	301.50	367.79	825.62	74644.87	65000.00	4115.85	23431.71				177.49
Cephalophus_ogilbyi			1000.00				1.00							0.07	0.08		4		231511.16	7.15	-3.46	1.84	12.62	5.99	9.31	1	104.03	1.00	0.09	190.65	251.54		1242.62	1549.15	18386.42							121.66
Naemorhedus_baileyi	12.00		1040.00				1.50			219.00									105198.47	29.24	24.64	26.94	100.08	96.87	98.47	1	27.92	1.00	0.11	173.39	53.05		1038.97	1190.61	28863.45							212.91
Capreolus_pygargus			1320.00				2.00						80.00	0.99	1.06	908.84		136.10	9816965.75	62.64	31.25	46.94	139.56	41.85	90.70	0	26.62	0.00	0.01	32.33	-14.85		367.70	511.78	41371.03		1923.53					290.00
Bos_sauveli		20.00	2175.00													755.15			115557.18	15.48	12.04	13.76	107.85	102.98	105.42	2	36.95	3.00	0.12	170.36	251.45		1144.18	1581.73	791321.76							
Capricornis_thar																			272208.21	34.60	21.26	27.93	96.07	74.10	85.09	1	157.56	4.00	0.09	151.07	104.44		944.55	1191.90								
Dicerorhinus_sumatrensis	1.00		2769.99	911.99		1277.50	1.00		0.58	420.00			1.05	11.87	12.72	2784.26		362.93	594010.97	6.73	-5.38	0.67	119.26	95.34	107.30	3	79.31	4.00	0.17	238.66	248.86		1703.18	1778.81	1046156.04		22849.50					310.19
Damaliscus_korrigum										150.96			3.29			1094.37	2		3278531.91	15.28	-10.09	2.59	45.33	-3.893153e-03	22.66	0	31.15	1.00	0.11	71.46	249.81		824.26	1631.55	127194.87							
Dorcatragus_megalotis		7.00	779.98				1.00			168.00							2		77951.19	11.69	8.73	10.21	51.00	42.29	46.64	1	9.78	2.00	0.05	14.58	243.49		197.41	1769.61	10918.12							
Redunca_arundinum		1.75	1505.00			273.75	0.98		1.27	201.00			0.65				4		5149998.73	-2.09	-31.07	-16.58	40.84	11.12	25.98	0	24.54	1.00	0.17	86.11	218.56		899.47	1455.42	58059.24		4500.00					220.52
Cephalophus_natalensis		2.00	786.14			235.00	1.00		1.37	180.00			6.92	0.06	0.09		4		1208751.28	-7.38	-31.13	-19.25	40.84	29.23	35.03	1	37.40	2.00	0.17	79.36	228.97		924.61	1494.49	12724.51		954.89					212.97
Cephalophus_niger			1041.80				1.00			122.04			1.14				4	89.49	726891.40	9.29	4.29	6.79	6.75	-13.29	-3.26	3	100.88	8.00	0.10	154.49	259.80		1256.50	1574.35	19094.32		1940.00					126.00
Philantomba_maxwellii		1.95	845.23				1.00			147.00			5.97			344.87	4	60.48	1214155.52	13.85	4.35	9.10	6.79	-16.82	-5.01	3	78.43	8.00	0.11	146.15	261.68	1095.00	1134.69	1563.70	8557.69		827.49					205.00
Pseudois_schaeferi	6.50																		61143.76	32.97	28.14	30.55	99.57	97.52	98.54	2	5.54	3.00	0.04	160.67	-11.81		618.76	889.23	29249.99							
Hippocamelus_bisulcus		1.90	1550.00	989.99			1.00	1.00					1.12	0.86					121225.02	-36.52	-50.74	-43.63	-71.09	-75.47	-73.28	0	2.48	0.00	0.05	143.42	34.95		527.52	643.53	69240.81		3575.62					212.91
Muntiacus_crinifrons							1.00												128303.40	31.80	27.08	29.44	120.60	116.66	118.63	99	327.45	105.00	0.05	117.90	142.00		1020.00	1047.24	18590.01							195.57
Oryx_beisa	40.00									240.00			1.38				4		1255430.97	18.42	-5.72	6.35	51.41	33.12	42.26	1	21.02	2.00	0.10	43.91	243.82		658.89	1623.00	200576.52							
Bubalus_mindorensis	11.00	1.00	2199.99			1095.00	1.00	1.00		336.00						755.15			9912.75	13.53	12.20	12.86	121.55	120.29	120.92	20	161.33	20.00	0.15	196.39	239.81				254389.74					1095.00		306.06
Oreotragus_oreotragus		2.00	824.99			365.00	0.98		1.10	213.96			2.62			371.23	4	136.87	5375303.33	19.29	-34.83	-7.77	50.90	7.62	29.26	0	38.39	1.00	0.13	66.50	209.37		776.24	1452.31	13486.55		1130.00					214.00
Oreamnos_americanus		3.00	1297.33			365.00	1.40		1.10	230.04	8320.00			18.17	17.04	964.59	4	84.86	1137827.98	64.61	43.51	54.06	-110.18	-151.99	-131.08	0	4.68	0.00	0.09	66.00	-10.46	1095.00	324.18	429.51	72105.40	32000.00	3080.81					181.24
Naemorhedus_caudatus										108.96									757390.24	49.62	34.47	42.04	138.78	109.66	124.22	1	137.71	2.00	0.04	45.40	33.36		540.98	686.56	26999.99							
Sus_cebifrons		4.50	1349.99				4.58	1.00								283.18	12	105.85	27761.56	12.60	9.03	10.82	124.07	121.84	122.96	103	266.95	118.00	0.08	160.41	254.91		1479.27	1759.33	190792.30							125.14
Damaliscus_lunatus		3.60	1700.00				0.98			216.00			2.74			665.30	2		1266510.50	-6.24	-26.69	-16.46	32.16	17.54	24.85	0	11.74	1.00	0.18	79.47	215.81	912.50	806.64	1417.25	136000.33		11000.00					238.00
